iter	MultiClass
0	1.033317715
1	0.96432269
2	0.9030281825
3	0.8458885874
4	0.7887371011
5	0.7331622031
6	0.6901715032
7	0.646871728
8	0.6082652813
9	0.5713966501
10	0.5362702104
11	0.509022607
12	0.4836475452
13	0.4554017048
14	0.4339927532
15	0.4179130216
16	0.3966919505
17	0.3764956003
18	0.3578241111
19	0.3388190236
20	0.3263903217
21	0.3082570453
22	0.2952273855
23	0.2803713858
24	0.2694348326
25	0.2556931652
26	0.2447158534
27	0.2358001469
28	0.2258096018
29	0.216429334
30	0.2071163812
31	0.1996091923
32	0.1922895893
33	0.1841914216
34	0.1779409452
35	0.172069142
36	0.1663344713
37	0.1605155305
38	0.153853758
39	0.1479144641
40	0.1421364863
41	0.1375682288
42	0.1328835877
43	0.1292852188
44	0.124827442
45	0.1213665866
46	0.1177216326
47	0.1146492908
48	0.1118961307
49	0.1080244211
50	0.1045846066
51	0.1023181273
52	0.09907722674
53	0.09663292191
54	0.09375102315
55	0.09093915453
56	0.08819979529
57	0.08575191741
58	0.08340601211
59	0.08154188483
60	0.0791756491
61	0.07729533445
62	0.07528881602
63	0.0729486565
64	0.07088260763
65	0.06941024155
66	0.06751076088
67	0.06593782813
68	0.06456658498
69	0.06344848413
70	0.06226082145
71	0.06083449509
72	0.05968840928
73	0.05838382501
74	0.05720658959
75	0.05590720653
76	0.05437749979
77	0.05339266614
78	0.05213956253
79	0.0514557151
80	0.05039746795
81	0.04946007783
82	0.04862409532
83	0.04773221837
84	0.0471261791
85	0.04648270022
86	0.04577151203
87	0.04517849311
88	0.04431063497
89	0.04334053054
90	0.0426551685
91	0.04192478854
92	0.04117178977
93	0.04045451248
94	0.03995277559
95	0.03947359049
96	0.03886360393
97	0.03835277468
98	0.03787849248
99	0.03722468599
100	0.036774468
101	0.03611210449
102	0.03570439021
103	0.03508269885
104	0.03473952402
105	0.03422282596
106	0.03374810899
107	0.03335009482
108	0.03303727981
109	0.03251691488
110	0.0321506073
111	0.03178198759
112	0.03144680332
113	0.03113309055
114	0.03077502195
115	0.03048562283
116	0.0301341548
117	0.02968174925
118	0.02939091148
119	0.02903528856
120	0.02869733714
121	0.02835182677
122	0.02791768591
123	0.02764193533
124	0.02735601371
125	0.02714700852
126	0.02688548034
127	0.02658080039
128	0.02633798674
129	0.02601112253
130	0.02576007969
131	0.02528849492
132	0.0250057074
133	0.02480177052
134	0.0245450458
135	0.02422783472
136	0.02405227962
137	0.02387886148
138	0.02364373449
139	0.02344018225
140	0.02321455813
141	0.02301908484
142	0.02277050743
143	0.02259355116
144	0.0224278104
145	0.02217620777
146	0.02207130815
147	0.02186058204
148	0.02167496297
149	0.02152651967
150	0.02134940639
151	0.02116287456
152	0.02100921138
153	0.02080224139
154	0.02065201013
155	0.02050458136
156	0.02037213463
157	0.02024424142
158	0.02009449063
159	0.01997630113
160	0.01980376019
161	0.01963061844
162	0.01948872194
163	0.01936434695
164	0.01923100461
165	0.01908821178
166	0.0189503388
167	0.01881133196
168	0.01869108992
169	0.01856424321
170	0.01845357947
171	0.01832934243
172	0.01817720834
173	0.01805100757
174	0.01792868618
175	0.01783742939
176	0.01771599672
177	0.01760783877
178	0.01748946758
179	0.01737248702
180	0.01727029258
181	0.0171950965
182	0.0170562483
183	0.01697569508
184	0.01689331451
185	0.01678866514
186	0.01669648007
187	0.01660219833
188	0.01650072632
189	0.01638573972
190	0.01626084108
191	0.01616484643
192	0.0160774294
193	0.01597156703
194	0.01588701271
195	0.01579290321
196	0.01565101909
197	0.01555388522
198	0.0154763361
199	0.01537566365
200	0.01523516811
201	0.01516248745
202	0.01503062162
203	0.01496405235
204	0.01488664715
205	0.01482207949
206	0.0147400825
207	0.01466993256
208	0.01457673565
209	0.01449622343
210	0.01441149629
211	0.0143216493
212	0.01425761987
213	0.01419051888
214	0.01411288234
215	0.01402412574
216	0.0139582573
217	0.01389748951
218	0.0138482987
219	0.01379127152
220	0.0137283246
221	0.01366525402
222	0.01357702556
223	0.0135180716
224	0.01345318167
225	0.0133613949
226	0.01329267812
227	0.01322942676
228	0.01316862734
229	0.01310988215
230	0.01304104389
231	0.01298349388
232	0.01291995851
233	0.01285300467
234	0.01279719419
235	0.01274492364
236	0.01268531023
237	0.01262999163
238	0.01257929218
239	0.01252232034
240	0.01247872159
241	0.01240177254
242	0.01233845489
243	0.0122857331
244	0.01223000105
245	0.01217780732
246	0.01212507112
247	0.01206983771
248	0.01201747811
249	0.01196948312
250	0.01192166483
251	0.01186076843
252	0.01181022546
253	0.01176131911
254	0.01171788633
255	0.01164525338
256	0.01159593049
257	0.01154633878
258	0.01150746317
259	0.01145779223
260	0.01141172549
261	0.01136251879
262	0.01130515153
263	0.01126252836
264	0.01122327753
265	0.01117554614
266	0.01112885894
267	0.01108831929
268	0.01104765661
269	0.01099456977
270	0.01094578747
271	0.01090347575
272	0.01085992366
273	0.01081239445
274	0.01077127023
275	0.01072958636
276	0.01068729091
277	0.01063780259
278	0.01059577423
279	0.01054081119
280	0.0105034655
281	0.01046724107
282	0.01042630965
283	0.01038976309
284	0.01035274668
285	0.0103041389
286	0.01026776592
287	0.01022993728
288	0.01017558327
289	0.01012721596
290	0.01008506182
291	0.01005104488
292	0.01001778567
293	0.009974998173
294	0.009936536103
295	0.00990261997
296	0.009868559373
297	0.009843182032
298	0.009811751185
299	0.00978160649
300	0.009739074877
